Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
CUST0109,PROD0032,Category 2,166.94,2020-07-19
CUST0410,PROD0031,Category 8,181.79,2020-08-22
CUST0046,PROD0049,Category 2,35.58,2022-11-28
CUST0470,PROD0037,Category 5,110.95,2020-11-07
CUST0343,PROD0035,Category 2,167.93,2021-11-16
CUST0480,PROD0047,Category 6,178.42,2022-03-09
CUST0385,PROD0027,Category 10,50.49,2021-05-20
CUST0133,PROD0004,Category 1,105.66,2024-09-17
CUST0412,PROD0037,Category 5,196.4,2021-10-28
CUST0170,PROD0024,Category 5,58.33,2020-01-15
CUST0400,PROD0035,Category 2,141.65,2023-10-26
CUST0121,PROD0014,Category 4,172.47,2023-12-04
CUST0289,PROD0037,Category 5,91.34,2022-05-06
CUST0098,PROD0040,Category 3,44.19,2022-02-13
CUST0030,PROD0019,Category 4,94.67,2021-10-03
CUST0077,PROD0037,Category 5,178.35,2020-07-24
CUST0148,PROD0021,Category 2,44.51,2022-08-27
CUST0347,PROD0024,Category 5,14.64,2023-03-02
CUST0499,PROD0050,Category 10,27.51,2024-03-19
CUST0219,PROD0044,Category 5,24.28,2020-11-09
CUST0196,PROD0033,Category 2,179.86,2021-11-25
CUST0101,PROD0021,Category 2,20.0,2022-09-19
CUST0196,PROD0040,Category 3,50.84,2023-07-23
CUST0136,PROD0046,Category 3,88.16,2020-03-21
CUST0255,PROD0009,Category 3,191.86,2021-04-02
CUST0304,PROD0044,Category 5,52.35,2022-05-06
CUST0057,PROD0015,Category 9,113.2,2021-10-13
CUST0457,PROD0001,Category 6,98.47,2021-08-07
CUST0462,PROD0030,Category 7,149.3,2021-12-09
CUST0235,PROD0040,Category 3,41.65,2021-12-08
CUST0065,PROD0008,Category 10,120.42,2024-01-07
CUST0499,PROD0029,Category 2,171.84,2021-04-05
CUST0274,PROD0009,Category 3,10.21,2021-06-02
CUST0132,PROD0023,Category 2,90.47,2022-04-01
CUST0373,PROD0023,Category 2,32.4,2020-11-03
CUST0012,PROD0040,Category 3,35.06,2020-10-18
CUST0371,PROD0041,Category 7,134.39,2022-12-14
CUST0118,PROD0021,Category 2,107.47,2024-11-26
CUST0447,PROD0042,Category 10,194.09,2021-01-24
CUST0062,PROD0026,Category 3,154.23,2022-07-16
CUST0491,PROD0007,Category 5,128.43,2022-11-28
CUST0397,PROD0043,Category 9,113.12,2020-08-04
CUST0432,PROD0036,Category 1,168.74,2020-12-04
CUST0135,PROD0034,Category 6,199.05,2022-11-02
CUST0115,PROD0045,Category 5,13.24,2021-01-02
CUST0280,PROD0023,Category 2,19.21,2024-09-02
CUST0234,PROD0004,Category 1,129.57,2020-08-02
CUST0470,PROD0008,Category 10,78.51,2024-03-10
CUST0079,PROD0029,Category 2,83.88,2021-10-10
CUST0131,PROD0035,Category 2,153.1,2020-02-25
CUST0288,PROD0036,Category 1,159.38,2022-09-18
CUST0278,PROD0010,Category 6,25.98,2022-10-07
CUST0337,PROD0033,Category 2,151.37,2022-07-13
CUST0400,PROD0045,Category 5,158.45,2022-12-04
CUST0112,PROD0030,Category 7,81.61,2022-09-11
CUST0343,PROD0037,Category 5,65.23,2022-03-26
CUST0120,PROD0010,Category 6,160.98,2020-07-18
CUST0416,PROD0002,Category 1,126.56,2024-11-05
CUST0168,PROD0029,Category 2,129.8,2020-03-03
CUST0151,PROD0044,Category 5,93.21,2021-12-12
CUST0171,PROD0034,Category 6,83.53,2024-05-21
CUST0424,PROD0040,Category 3,114.18,2024-09-03
CUST0498,PROD0016,Category 6,135.71,2020-02-20
CUST0408,PROD0044,Category 5,169.77,2022-05-31
CUST0048,PROD0014,Category 4,93.97,2024-06-29
CUST0378,PROD0005,Category 5,171.41,2021-08-10
CUST0238,PROD0047,Category 6,119.85,2023-06-11
CUST0413,PROD0040,Category 3,114.22,2020-12-26
