Customer ID,Total Spending,Purchase Frequency,Cluster,Segment
CUST0001,1164.92,11,0,Frequent Buyers
CUST0002,1687.2,19,3,High Spenders
CUST0003,1116.81,7,2,Occasional Buyers
CUST0004,1289.71,12,0,Frequent Buyers
CUST0005,510.97,4,1,Low Spenders
CUST0006,1184.63,9,2,Occasional Buyers
CUST0007,350.66,5,1,Low Spenders
CUST0008,494.4,8,1,Low Spenders
CUST0009,639.0,9,2,Occasional Buyers
CUST0010,983.5,9,2,Occasional Buyers
CUST0011,1048.68,11,2,Occasional Buyers
CUST0012,746.54,8,2,Occasional Buyers
CUST0013,446.52,4,1,Low Spenders
CUST0014,638.69,8,1,Low Spenders
CUST0015,1036.3,9,2,Occasional Buyers
CUST0016,1062.55,10,2,Occasional Buyers
CUST0017,1393.39,13,0,Frequent Buyers
CUST0018,711.93,6,1,Low Spenders
CUST0019,1529.6100000000001,11,0,Frequent Buyers
CUST0020,550.9,7,1,Low Spenders
CUST0021,978.81,11,2,Occasional Buyers
CUST0022,691.05,8,1,Low Spenders
CUST0023,390.01,4,1,Low Spenders
CUST0024,1111.76,10,2,Occasional Buyers
CUST0025,1380.53,11,0,Frequent Buyers
CUST0026,1235.82,12,0,Frequent Buyers
CUST0027,999.03,7,2,Occasional Buyers
CUST0028,643.4200000000001,7,1,Low Spenders
CUST0029,899.99,9,2,Occasional Buyers
CUST0030,678.28,8,1,Low Spenders
CUST0031,1605.07,13,0,Frequent Buyers
CUST0032,1470.1100000000001,9,0,Frequent Buyers
CUST0033,1707.94,14,3,High Spenders
CUST0034,1050.04,10,2,Occasional Buyers
CUST0035,1025.9299999999998,11,2,Occasional Buyers
CUST0036,1241.92,10,0,Frequent Buyers
CUST0037,1138.47,12,0,Frequent Buyers
CUST0038,918.4100000000001,8,2,Occasional Buyers
CUST0039,964.67,9,2,Occasional Buyers
CUST0040,1166.21,13,0,Frequent Buyers
CUST0041,768.75,7,1,Low Spenders
CUST0042,1053.65,9,2,Occasional Buyers
CUST0043,546.46,6,1,Low Spenders
CUST0044,1320.78,10,0,Frequent Buyers
CUST0045,2035.95,16,3,High Spenders
CUST0046,1449.74,14,0,Frequent Buyers
CUST0047,547.55,7,1,Low Spenders
CUST0048,1560.31,13,0,Frequent Buyers
CUST0049,922.86,11,2,Occasional Buyers
CUST0050,441.91,7,1,Low Spenders
CUST0051,1120.28,12,0,Frequent Buyers
CUST0052,871.73,8,2,Occasional Buyers
CUST0053,1060.18,12,0,Frequent Buyers
CUST0054,835.79,9,2,Occasional Buyers
CUST0055,1012.4399999999999,10,2,Occasional Buyers
CUST0056,1275.15,12,0,Frequent Buyers
CUST0057,451.96,5,1,Low Spenders
CUST0058,752.1800000000001,8,2,Occasional Buyers
CUST0059,1142.98,10,2,Occasional Buyers
CUST0060,1288.16,10,0,Frequent Buyers
CUST0061,1291.72,11,0,Frequent Buyers
CUST0062,751.8199999999999,7,1,Low Spenders
CUST0063,786.44,6,1,Low Spenders
CUST0064,643.1999999999999,7,1,Low Spenders
CUST0065,1160.14,10,2,Occasional Buyers
CUST0066,679.38,7,1,Low Spenders
CUST0067,898.23,8,2,Occasional Buyers
CUST0068,1467.6,12,0,Frequent Buyers
CUST0069,594.48,8,1,Low Spenders
CUST0070,1463.32,13,0,Frequent Buyers
CUST0071,1054.95,10,2,Occasional Buyers
CUST0072,626.43,5,1,Low Spenders
CUST0073,1509.96,12,0,Frequent Buyers
CUST0074,425.84999999999997,4,1,Low Spenders
CUST0075,1123.21,13,0,Frequent Buyers
CUST0076,785.43,9,2,Occasional Buyers
CUST0077,834.25,7,1,Low Spenders
CUST0078,1224.18,12,0,Frequent Buyers
CUST0079,522.39,9,1,Low Spenders
CUST0080,1515.98,13,0,Frequent Buyers
CUST0081,877.24,9,2,Occasional Buyers
CUST0082,1102.42,9,2,Occasional Buyers
CUST0083,1331.11,12,0,Frequent Buyers
CUST0084,994.66,11,2,Occasional Buyers
CUST0085,328.77,4,1,Low Spenders
CUST0086,701.21,7,1,Low Spenders
CUST0087,1473.54,11,0,Frequent Buyers
CUST0088,1572.15,12,0,Frequent Buyers
CUST0089,998.18,9,2,Occasional Buyers
CUST0090,1045.96,9,2,Occasional Buyers
CUST0091,705.3299999999999,8,1,Low Spenders
CUST0092,1535.96,11,0,Frequent Buyers
CUST0093,366.39,4,1,Low Spenders
CUST0094,741.45,7,1,Low Spenders
CUST0095,889.47,7,2,Occasional Buyers
CUST0096,1695.11,17,3,High Spenders
CUST0097,589.45,6,1,Low Spenders
CUST0098,1300.0,13,0,Frequent Buyers
CUST0099,590.86,5,1,Low Spenders
CUST0100,1212.17,13,0,Frequent Buyers
CUST0101,657.69,9,2,Occasional Buyers
CUST0102,1796.57,16,3,High Spenders
CUST0103,1605.44,15,3,High Spenders
CUST0104,837.4100000000001,6,1,Low Spenders
CUST0105,954.55,9,2,Occasional Buyers
CUST0106,854.5899999999999,7,2,Occasional Buyers
CUST0107,747.16,7,1,Low Spenders
CUST0108,595.85,8,1,Low Spenders
CUST0109,1666.77,15,3,High Spenders
CUST0110,642.15,5,1,Low Spenders
CUST0111,625.4399999999999,6,1,Low Spenders
CUST0112,1815.0,14,3,High Spenders
CUST0113,1324.02,12,0,Frequent Buyers
CUST0114,1523.51,14,3,High Spenders
CUST0115,869.64,11,2,Occasional Buyers
CUST0116,743.62,7,1,Low Spenders
CUST0117,1135.52,9,2,Occasional Buyers
CUST0118,1269.75,13,0,Frequent Buyers
CUST0119,1180.28,9,2,Occasional Buyers
CUST0120,1245.06,12,0,Frequent Buyers
CUST0121,1239.17,11,0,Frequent Buyers
CUST0122,1348.58,13,0,Frequent Buyers
CUST0123,1084.52,10,2,Occasional Buyers
CUST0124,1160.8899999999999,10,2,Occasional Buyers
CUST0125,1234.04,13,0,Frequent Buyers
CUST0126,1806.43,17,3,High Spenders
CUST0127,386.12,3,1,Low Spenders
CUST0128,683.8299999999999,6,1,Low Spenders
CUST0129,953.59,9,2,Occasional Buyers
CUST0130,968.99,9,2,Occasional Buyers
CUST0131,1361.63,11,0,Frequent Buyers
CUST0132,383.53999999999996,3,1,Low Spenders
CUST0133,1134.48,9,2,Occasional Buyers
CUST0134,1053.14,11,2,Occasional Buyers
CUST0135,1424.95,14,0,Frequent Buyers
CUST0136,566.39,7,1,Low Spenders
CUST0137,1337.71,10,0,Frequent Buyers
CUST0138,1016.34,12,0,Frequent Buyers
CUST0139,997.4499999999999,8,2,Occasional Buyers
CUST0140,291.78,3,1,Low Spenders
CUST0141,464.63,4,1,Low Spenders
CUST0142,1445.1999999999998,13,0,Frequent Buyers
CUST0143,744.12,8,2,Occasional Buyers
CUST0144,639.04,9,2,Occasional Buyers
CUST0145,1210.92,10,2,Occasional Buyers
CUST0146,1431.4099999999999,12,0,Frequent Buyers
CUST0147,1213.16,10,2,Occasional Buyers
CUST0148,1469.43,14,0,Frequent Buyers
CUST0149,865.5,8,2,Occasional Buyers
CUST0150,1426.8,14,0,Frequent Buyers
CUST0151,656.15,6,1,Low Spenders
CUST0152,1211.21,10,2,Occasional Buyers
CUST0153,694.63,5,1,Low Spenders
CUST0154,1012.4599999999999,9,2,Occasional Buyers
CUST0155,1104.79,10,2,Occasional Buyers
CUST0156,777.1899999999999,8,2,Occasional Buyers
CUST0157,955.38,10,2,Occasional Buyers
CUST0158,1112.43,10,2,Occasional Buyers
CUST0159,699.35,6,1,Low Spenders
CUST0160,307.09000000000003,5,1,Low Spenders
CUST0161,864.0699999999999,9,2,Occasional Buyers
CUST0162,965.9000000000001,9,2,Occasional Buyers
CUST0163,856.18,9,2,Occasional Buyers
CUST0164,431.25,6,1,Low Spenders
CUST0165,1388.69,12,0,Frequent Buyers
CUST0166,1783.54,14,3,High Spenders
CUST0167,411.53999999999996,7,1,Low Spenders
CUST0168,1372.8,12,0,Frequent Buyers
CUST0169,1463.57,12,0,Frequent Buyers
CUST0170,1592.54,14,3,High Spenders
CUST0171,900.0699999999999,11,2,Occasional Buyers
CUST0172,1262.05,11,0,Frequent Buyers
CUST0173,562.27,8,1,Low Spenders
CUST0174,499.44,5,1,Low Spenders
CUST0175,702.8199999999999,9,2,Occasional Buyers
CUST0176,502.3,5,1,Low Spenders
CUST0177,931.39,11,2,Occasional Buyers
CUST0178,1262.18,11,0,Frequent Buyers
CUST0179,1083.1599999999999,9,2,Occasional Buyers
CUST0180,1107.69,12,0,Frequent Buyers
CUST0181,875.8499999999999,8,2,Occasional Buyers
CUST0182,1138.87,11,0,Frequent Buyers
CUST0183,619.77,7,1,Low Spenders
CUST0184,708.25,7,1,Low Spenders
CUST0185,1185.71,8,2,Occasional Buyers
CUST0186,442.54,6,1,Low Spenders
CUST0187,1335.2,14,0,Frequent Buyers
CUST0188,1350.32,13,0,Frequent Buyers
CUST0189,1673.49,17,3,High Spenders
CUST0190,1288.88,11,0,Frequent Buyers
CUST0191,702.47,6,1,Low Spenders
CUST0192,445.94,6,1,Low Spenders
CUST0193,1109.19,10,2,Occasional Buyers
CUST0194,846.28,12,2,Occasional Buyers
CUST0195,1773.27,17,3,High Spenders
CUST0196,1234.51,11,0,Frequent Buyers
CUST0197,1586.2,11,0,Frequent Buyers
CUST0198,518.24,5,1,Low Spenders
CUST0199,902.13,10,2,Occasional Buyers
CUST0200,839.65,8,2,Occasional Buyers
CUST0201,1626.06,17,3,High Spenders
CUST0202,1058.3,10,2,Occasional Buyers
CUST0203,1326.57,14,0,Frequent Buyers
CUST0204,937.13,8,2,Occasional Buyers
CUST0205,1687.89,13,3,High Spenders
CUST0206,888.95,9,2,Occasional Buyers
CUST0207,425.44,5,1,Low Spenders
CUST0208,1552.91,14,3,High Spenders
CUST0209,1829.37,16,3,High Spenders
CUST0210,2272.48,19,3,High Spenders
CUST0211,1611.36,17,3,High Spenders
CUST0212,1321.76,12,0,Frequent Buyers
CUST0213,1056.98,10,2,Occasional Buyers
CUST0214,1488.41,12,0,Frequent Buyers
CUST0215,1328.35,13,0,Frequent Buyers
CUST0216,1257.5900000000001,15,0,Frequent Buyers
