Product ID,Total Sales
PROD0001,11575.789999999999
PROD0002,10447.74
PROD0003,9399.48
PROD0004,9738.86
PROD0005,10013.24
PROD0006,11151.05
PROD0007,9714.14
PROD0008,12949.38
PROD0009,10319.71
PROD0010,10770.58
PROD0011,10875.630000000001
PROD0012,10710.73
PROD0013,12238.62
PROD0014,11261.37
PROD0015,10853.74
PROD0016,10259.54
PROD0017,8874.82
PROD0018,9638.48
PROD0019,10458.32
PROD0020,9960.74
PROD0021,11189.65
PROD0022,11307.34
PROD0023,9894.95
PROD0024,10406.09
PROD0025,10316.33
PROD0026,11309.52
PROD0027,10664.77
PROD0028,10010.369999999999
PROD0029,11425.51
PROD0030,11004.58
PROD0031,9725.53
PROD0032,10241.48
PROD0033,12100.14
PROD0034,11252.33
PROD0035,9344.84
PROD0036,10786.28
PROD0037,10919.28
PROD0038,9316.89
PROD0039,10459.37
PROD0040,9437.81
PROD0041,8545.28
PROD0042,10353.22
PROD0043,10831.22
PROD0044,9590.88
PROD0045,9997.07
PROD0046,9213.42
PROD0047,11517.35
PROD0048,10473.76
PROD0049,9493.79
PROD0050,11648.39
